SUMMARY 01/29/2011  $-5744.80    46
          BUY     08/28/1993  $-52.17
        BUY     08/28/1993  $-52.53
        SELL    08/28/1993  $86.22
        SELL    08/28/1993  $45.48
        SELL    08/28/1993  $12.26
        SELL    08/28/1993  $61.97
        SELL    08/28/1993  $24.93
        BUY     08/28/1993  $-35.46
        BUY     08/28/1993  $-45.54
        BUY     08/29/1993  $-74.10
        SELL    08/29/1993  $64.53
        BUY     08/29/1993  $-69.48
        BUY     08/29/1993  $-30.25
        SELL    08/29/1993  $49.99
        BUY     08/29/1993  $-3.56
        BUY     08/29/1993  $-81.94
        BUY     08/29/1993  $-50.16
        SELL    08/30/1993  $42.35
        BUY     08/30/1993  $-44.30
        SELL    08/30/1993  $66.23
        BUY     08/30/1993  $-91.38
        SELL    08/30/1993  $20.93
        BUY     08/30/1993  $-30.62
        BUY     08/30/1993  $-23.19
        BUY     08/30/1993  $-15.79
        BUY     08/30/1993  $-65.66
        SELL    08/30/1993  $64.67
      SELL    08/30/1993  $26.96
      SUMMARY 09/04/1993  $-88.28    48
        SELL    08/31/1993  $78.76
        BUY     08/31/1993  $-35.91
        SELL    08/31/1993  $98.74
        SELL    08/31/1993  $48.79
        SELL    08/31/1993  $61.88
        BUY     08/31/1993  $-90.47
        SELL    08/31/1993  $31.64
        SELL    08/31/1993  $84.34
        BUY     08/31/1993  $-43.18
        BUY     08/31/1993  $-75.46
        BUY     08/31/1993  $-21.28
        BUY     09/01/1993  $-71.45
        SELL    09/01/1993  $65.97
        BUY     09/01/1993  $-23.70
        BUY     09/01/1993  $-26.00
        SELL    09/01/1993  $25.74
        BUY     09/01/1993  $-64.77
        BUY     09/01/1993  $-88.50
        SELL    09/01/1993  $77.13
        SELL    09/01/1993  $75.48
        SELL    09/01/1993  $50.12
        SELL    09/01/1993  $22.85
        BUY     09/01/1993  $-45.72
        BUY     09/01/1993  $-76.98
        SELL    09/02/1993  $70.18
        BUY     09/02/1993  $-23.48
        BUY     09/02/1993  $-46.82
        SELL    09/02/1993  $37.90
        SELL    09/02/1993  $84.98
        BUY     09/02/1993  $-21.34
        BUY     09/02/1993  $-92.13
        BUY     09/02/1993  $-24.84
        BUY     09/02/1993  $-91.85
        BUY     09/02/1993  $-14.95
        BUY     09/02/1993  $-71.79
        BUY     09/02/1993  $-17.34
        BUY     09/03/1993  $-43.31
        SELL    09/03/1993  $61.23
        BUY     09/03/1993  $-90.04
        BUY     09/03/1993  $-15.46
        SELL    09/03/1993  $40.11
        SELL    09/03/1993  $74.89
        SELL    09/03/1993  $15.28
        SELL    09/03/1993  $22.33
        SELL    09/03/1993  $29.38
        BUY     09/03/1993  $-45.06
        SELL    09/03/1993  $72.59
        BUY     09/04/1993  $-56.76
      BUY     09/04/1993  $-39.03
      BUY     09/04/1993  $-37.61
      SELL    09/04/1993  $58.85
      SELL    09/04/1993  $97.18
      SELL    09/04/1993  $20.39
      BUY     09/04/1993  $-20.74
      BUY     09/04/1993  $-9.87
      BUY     09/04/1993  $-11.36
      BUY     09/04/1993  $-36.69
      SELL    09/04/1993  $33.76
      SELL    09/04/1993  $9.40
      SELL    09/05/1993  $20.16
    SELL    09/05/1993  $1.98
    BUY     09/05/1993  $-88.22
    BUY     09/05/1993  $-61.79
    SUMMARY 09/12/1993  $227.05    35
      BUY     09/05/1993  $-4.63
      SELL    09/05/1993  $56.67
      SELL    09/05/1993  $79.61
      BUY     09/05/1993  $-66.88
      BUY     09/05/1993  $-15.13
      SELL    09/05/1993  $64.53
      SELL    09/06/1993  $0.92
      SELL    09/06/1993  $77.66
      BUY     09/06/1993  $-19.41
      BUY     09/06/1993  $-18.05
      BUY     09/06/1993  $-96.83
      BUY     09/06/1993  $-41.13
      BUY     09/06/1993  $-52.11
      SELL    09/06/1993  $37.13
      SELL    09/06/1993  $95.09
      BUY     09/06/1993  $-59.49
      BUY     09/07/1993  $-81.78
      BUY     09/07/1993  $-76.20
      BUY     09/07/1993  $-38.33
      SELL    09/07/1993  $43.94
      SELL    09/07/1993  $86.58
      SELL    09/07/1993  $8.01
      SELL    09/07/1993  $36.10
      BUY     09/07/1993  $-73.19
      SELL    09/07/1993  $54.62
      SELL    09/07/1993  $50.23
      SELL    09/07/1993  $96.69
      BUY     09/07/1993  $-40.56
      SELL    09/07/1993  $3.02
      SELL    09/07/1993  $84.11
      SUMMARY 09/11/1993  $-166.75    44
        BUY     09/07/1993  $-67.12
        SELL    09/08/1993  $39.38
        SELL    09/08/1993  $8.07
        BUY     09/08/1993  $-60.51
        SELL    09/08/1993  $31.86
        SELL    09/08/1993  $69.55
        SELL    09/08/1993  $2.59
        SELL    09/08/1993  $86.15
        SELL    09/08/1993  $58.95
        SELL    09/08/1993  $46.53
        BUY     09/08/1993  $-27.41
        BUY     09/08/1993  $-78.16
        SELL    09/08/1993  $91.31
        BUY     09/09/1993  $-4.97
        BUY     09/09/1993  $-72.18
        BUY     09/09/1993  $-67.94
        BUY     09/09/1993  $-94.44
        BUY     09/09/1993  $-83.90
        SELL    09/09/1993  $26.27
        SELL    09/09/1993  $8.99
        SELL    09/09/1993  $42.01
        BUY     09/09/1993  $-0.57
        BUY     09/09/1993  $-87.68
        BUY     09/09/1993  $-38.99
        SELL    09/09/1993  $37.51
        SELL    09/10/1993  $52.43
        BUY     09/10/1993  $-65.48
        BUY     09/10/1993  $-17.24
        SELL    09/10/1993  $18.00
        BUY     09/10/1993  $-54.24
        BUY     09/10/1993  $-14.53
        BUY     09/10/1993  $-67.53
        SELL    09/10/1993  $71.16
        SELL    09/10/1993  $42.68
        BUY     09/10/1993  $-74.18
        BUY     09/10/1993  $-30.17
        SELL    09/11/1993  $21.94
        SELL    09/11/1993  $48.54
        SELL    09/11/1993  $5.41
        BUY     09/11/1993  $-61.14
        SELL    09/11/1993  $52.61
        BUY     09/11/1993  $-81.82
        SELL    09/11/1993  $55.60
        SELL    09/11/1993  $65.91
      SELL    09/11/1993  $83.78
      SELL    09/12/1993  $30.75
      SELL    09/12/1993  $51.52
      SELL    09/12/1993  $36.56
    SUMMARY 09/16/1993  $129.43    46
      BUY     09/12/1993  $-41.45
      SELL    09/12/1993  $84.97
      SELL    09/12/1993  $55.44
      SELL    09/12/1993  $28.05
      SELL    09/12/1993  $51.89
      SELL    09/12/1993  $80.29
      SELL    09/12/1993  $59.11
      BUY     09/13/1993  $-6.18
      SELL    09/13/1993  $70.48
      SELL    09/13/1993  $1.40
      BUY     09/13/1993  $-13.80
      BUY     09/13/1993  $-66.08
      BUY     09/13/1993  $-58.73
      BUY     09/13/1993  $-53.83
      SELL    09/13/1993  $33.73
      SELL    09/13/1993  $31.05
      BUY     09/13/1993  $-93.18
      BUY     09/13/1993  $-99.91
      SELL    09/14/1993  $50.60
      SELL    09/14/1993  $45.03
      SELL    09/14/1993  $79.06
      BUY     09/14/1993  $-91.77
      BUY     09/14/1993  $-91.63
      SELL    09/14/1993  $60.63
      BUY     09/14/1993  $-37.44
      SELL    09/14/1993  $91.47
      SELL    09/14/1993  $81.99
      BUY     09/14/1993  $-2.18
      SELL    09/14/1993  $10.87
      SELL    09/15/1993  $0.94
      SELL    09/15/1993  $91.83
      SELL    09/15/1993  $91.76
      BUY     09/15/1993  $-70.86
      SELL    09/15/1993  $78.28
      BUY     09/15/1993  $-3.16
      SELL    09/15/1993  $87.01
      SELL    09/15/1993  $63.98
      BUY     09/15/1993  $-5.92
      BUY     09/15/1993  $-79.92
      BUY     09/15/1993  $-91.51
      BUY     09/15/1993  $-51.40
      BUY     09/15/1993  $-12.91
      BUY     09/16/1993  $-94.25
      BUY     09/16/1993  $-77.79
      SELL    09/16/1993  $16.06
      BUY     09/16/1993  $-72.59
    SELL    09/16/1993  $84.26
    SELL    09/16/1993  $91.17
    SELL    09/16/1993  $13.63
    SELL    09/16/1993  $83.03
    BUY     09/16/1993  $-63.03
    SUMMARY 10/04/1993  $-1432.96    49
      SELL    09/16/1993  $56.65
      BUY     09/16/1993  $-2.61
      BUY     09/17/1993  $-94.73
      SELL    09/17/1993  $31.14
      BUY     09/17/1993  $-91.85
      SUMMARY 09/19/1993  $-915.10    26
        SELL    09/17/1993  $95.14
        SELL    09/17/1993  $63.61
        BUY     09/17/1993  $-86.72
        BUY     09/17/1993  $-88.61
        BUY     09/17/1993  $-14.13
        BUY     09/17/1993  $-61.07
        BUY     09/17/1993  $-97.77
        SELL    09/17/1993  $43.53
        SELL    09/18/1993  $29.30
        BUY     09/18/1993  $-53.38
        BUY     09/18/1993  $-90.46
        BUY     09/18/1993  $-9.31
        BUY     09/18/1993  $-70.62
        BUY     09/18/1993  $-40.94
        SELL    09/18/1993  $31.85
        BUY     09/18/1993  $-75.22
        BUY     09/18/1993  $-55.22
        BUY     09/18/1993  $-84.30
        BUY     09/18/1993  $-92.64
        SELL    09/19/1993  $82.97
        BUY     09/19/1993  $-68.32
        BUY     09/19/1993  $-69.67
        BUY     09/19/1993  $-7.61
        BUY     09/19/1993  $-91.77
        BUY     09/19/1993  $-88.04
        BUY     09/19/1993  $-15.70
      BUY     09/19/1993  $-61.63
      BUY     09/19/1993  $-48.58
      SELL    09/19/1993  $48.88
      SUMMARY 09/22/1993  $-14.58    29
        SELL    09/19/1993  $69.51
        SELL    09/19/1993  $81.68
        BUY     09/20/1993  $-36.36
        BUY     09/20/1993  $-43.49
        SELL    09/20/1993  $22.02
        SELL    09/20/1993  $34.51
        BUY     09/20/1993  $-84.88
        BUY     09/20/1993  $-56.24
        SELL    09/20/1993  $38.15
        SELL    09/20/1993  $45.20
        SELL    09/20/1993  $73.21
        BUY     09/20/1993  $-93.02
        SELL    09/20/1993  $57.71
        SELL    09/20/1993  $46.22
        BUY     09/20/1993  $-81.40
        SELL    09/21/1993  $35.43
        BUY     09/21/1993  $-11.25
        BUY     09/21/1993  $-4.93
        SELL    09/21/1993  $48.39
        BUY     09/21/1993  $-5.07
        BUY     09/21/1993  $-90.26
        BUY     09/21/1993  $-16.07
        SELL    09/21/1993  $24.99
        SELL    09/21/1993  $56.71
        BUY     09/21/1993  $-65.19
        SELL    09/21/1993  $32.49
        BUY     09/21/1993  $-25.87
        BUY     09/22/1993  $-38.56
        BUY     09/22/1993  $-28.21
      BUY     09/22/1993  $-91.00
      SELL    09/22/1993  $33.39
      SELL    09/22/1993  $0.64
      SELL    09/22/1993  $98.13
      SELL    09/22/1993  $0.56
      SELL    09/22/1993  $29.50
      BUY     09/22/1993  $-31.02
      BUY     09/22/1993  $-94.38
      BUY     09/23/1993  $-73.87
      BUY     09/23/1993  $-83.39
      SELL    09/23/1993  $22.34
      BUY     09/23/1993  $-2.25
      SUMMARY 09/29/1993  $173.95    51
        BUY     09/23/1993  $-45.37
        BUY     09/23/1993  $-0.76
        BUY     09/23/1993  $-13.88
        SELL    09/23/1993  $47.57
        BUY     09/23/1993  $-26.70
        BUY     09/23/1993  $-94.16
        BUY     09/23/1993  $-50.45
        BUY     09/24/1993  $-71.82
        SELL    09/24/1993  $52.49
        SELL    09/24/1993  $64.52
        BUY     09/24/1993  $-27.37
        SELL    09/24/1993  $92.23
        SELL    09/24/1993  $29.46
        SELL    09/24/1993  $92.91
        SELL    09/24/1993  $26.29
        BUY     09/24/1993  $-74.47
        SELL    09/24/1993  $10.20
        SELL    09/24/1993  $42.22
        BUY     09/24/1993  $-0.17
        SELL    09/24/1993  $85.89
        BUY     09/25/1993  $-97.31
        BUY     09/25/1993  $-35.95
        SELL    09/25/1993  $40.14
        BUY     09/25/1993  $-44.35
        BUY     09/25/1993  $-36.06
        SELL    09/25/1993  $69.22
        SELL    09/25/1993  $20.32
        SELL    09/25/1993  $41.25
        SELL    09/25/1993  $82.70
        BUY     09/25/1993  $-55.31
        SELL    09/25/1993  $29.33
        BUY     09/25/1993  $-8.26
        BUY     09/25/1993  $-73.41
        SELL    09/25/1993  $13.85
        BUY     09/26/1993  $-68.68
        BUY     09/26/1993  $-21.30
        BUY     09/26/1993  $-49.75
        SELL    09/26/1993  $70.18
        SELL    09/26/1993  $31.66
        SELL    09/26/1993  $16.54
        BUY     09/26/1993  $-61.24
        BUY     09/26/1993  $-50.19
        SUMMARY 09/28/1993  $-0.86    25
          BUY     09/26/1993  $-4.80
          SELL    09/26/1993  $44.99
          SELL    09/26/1993  $52.35
          BUY     09/26/1993  $-42.48
          BUY     09/27/1993  $-40.31
          BUY     09/27/1993  $-94.54
          BUY     09/27/1993  $-76.64
          SELL    09/27/1993  $54.10
          SELL    09/27/1993  $77.06
          BUY     09/27/1993  $-16.88
          BUY     09/27/1993  $-60.71
          BUY     09/27/1993  $-77.82
          SELL    09/27/1993  $54.83
          BUY     09/27/1993  $-63.00
          SELL    09/27/1993  $62.94
          SELL    09/28/1993  $33.08
          BUY     09/28/1993  $-90.45
          SELL    09/28/1993  $29.88
          BUY     09/28/1993  $-85.98
          SELL    09/28/1993  $33.97
          SELL    09/28/1993  $19.75
          SELL    09/28/1993  $95.11
          SELL    09/28/1993  $25.69
          SELL    09/28/1993  $80.43
          BUY     09/28/1993  $-11.43
        BUY     09/28/1993  $-0.53
        SELL    09/28/1993  $8.86
        BUY     09/29/1993  $-25.05
        SELL    09/29/1993  $39.83
        SELL    09/29/1993  $19.24
        SELL    09/29/1993  $81.35
        SELL    09/29/1993  $64.88
        SELL    09/29/1993  $34.22
      SELL    09/29/1993  $13.63
      SELL    09/29/1993  $21.29
      BUY     09/29/1993  $-21.13
      SELL    09/29/1993  $18.42
      BUY     09/29/1993  $-73.09
      BUY     09/30/1993  $-89.88
      SELL    09/30/1993  $15.76
      SUMMARY 10/03/1993  $-635.46    39
        BUY     09/30/1993  $-56.62
        SELL    09/30/1993  $33.80
        BUY     09/30/1993  $-59.10
        SELL    09/30/1993  $93.12
        SELL    09/30/1993  $88.26
        BUY     09/30/1993  $-20.62
        BUY     09/30/1993  $-63.88
        BUY     09/30/1993  $-88.99
        SELL    10/01/1993  $67.62
        BUY     10/01/1993  $-65.54
        BUY     10/01/1993  $-95.44
        SELL    10/01/1993  $88.54
        SELL    10/01/1993  $24.26
        BUY     10/01/1993  $-10.75
        BUY     10/01/1993  $-82.66
        BUY     10/01/1993  $-67.76
        BUY     10/01/1993  $-97.46
        BUY     10/01/1993  $-69.39
        SELL    10/01/1993  $40.79
        SELL    10/01/1993  $28.96
        SELL    10/01/1993  $61.15
        SELL    10/01/1993  $77.59
        BUY     10/01/1993  $-5.01
        BUY     10/02/1993  $-36.50
        BUY     10/02/1993  $-1.35
        SELL    10/02/1993  $53.37
        BUY     10/02/1993  $-91.40
        BUY     10/02/1993  $-82.83
        BUY     10/02/1993  $-12.05
        BUY     10/02/1993  $-48.40
        SELL    10/02/1993  $3.35
        BUY     10/02/1993  $-99.83
        BUY     10/02/1993  $-42.02
        SELL    10/02/1993  $45.38
        SELL    10/02/1993  $54.24
        BUY     10/03/1993  $-93.62
        BUY     10/03/1993  $-96.64
        BUY     10/03/1993  $-44.18
        SELL    10/03/1993  $36.15
      SELL    10/03/1993  $14.71
      BUY     10/03/1993  $-13.32
      SELL    10/03/1993  $71.86
      BUY     10/03/1993  $-35.13
      BUY     10/03/1993  $-41.02
      SELL    10/03/1993  $86.27
      SELL    10/03/1993  $70.01
      SELL    10/03/1993  $47.03
      SELL    10/04/1993  $91.98
      SELL    10/04/1993  $43.08
      BUY     10/04/1993  $-11.41
      SELL    10/04/1993  $74.10
      SELL    10/04/1993  $46.64
      SELL    10/04/1993  $14.51
      SELL    10/04/1993  $57.95
      SELL    10/04/1993  $38.35
      BUY     10/04/1993  $-91.96
      BUY     10/04/1993  $-36.34
    BUY     10/05/1993  $-89.78
    BUY     10/05/1993  $-40.26
    SELL    10/05/1993  $61.08
    SUMMARY 10/16/1993  $450.45    22
      SELL    10/05/1993  $33.49
